RISK DOMAIN,DUE DILIGENCE OF SERVICE PROVIDER   ,GUIDANCE ON EVIDENCE REQUEST BUT NOT LIMITED TO,SERVICE PROVIDER RESPONSE,SERVICE PROVIDER COMMENTS,REVIEW BY TPRM ON COMMENTS/ RESPONSES PROVIDED BY SERVICE PROVIDER ,CONTROL EFFECTIVENESS LEVEL ,EFFECTIVENESS RATING,DOMAIN SCORE,DOMAIN RATING,,,,,,,,,,,,,,,,,Yes
,Is your organization IT infrastructure adequate to support the services required?,Please share your company Information Security Policy Share certifications related SOC2 Evidence of compliance with relevant industry standards and regulations such as GDPR etc ,Yes,"Overview of Fuze's Current System Architecture/Infrastructure:  Fuze’s system architecture is designed to meet the scalability, flexibility, and security requirements needed to support our services, while ensuring compliance with industry standards, including GDPR and other data protection regulations. Our infrastructure leverages cloud-based solutions from trusted industry providers to guarantee high availability, reliability, and rapid scaling.  Cloud Providers and Locations: Fuze utilizes AWS cloud infrastructure, primarily hosted in the me-central-1 region of AWS. This setup complies with UAE data protection laws and incorporates geographic redundancy and high availability across multiple Availability Zones (AZs). By employing this configuration, we ensure seamless operations even during disruptions while adhering to the highest standards of data security and privacy, including compliance with GDPR for EU-based customers.  Service Providers: Fuze integrates with key service providers to support our security and compliance requirements, including:  Fireblocks for custody services  Chainalysis for compliance  Notabene for Travel Rule compliance  Our platform’s architecture is flexible, supporting multiple custody providers, Travel Rule providers, and KYT/AML solutions, which allows us to offer scalable and adaptable solutions that meet the dynamic needs of our clients and regulatory standards.  Tech Stack: Fuze is built on a microservices-based architecture with a modular approach, enabling flexibility and ease of scaling. Our system is event-driven, utilizing a Pub/Sub mechanism to ensure efficient horizontal and vertical scaling. Key technologies include:  SOR and OEMS: Fuze uses an inbuilt and proprietary Order Execution Management System (OEMS) and Smart Order Routing (SOR), optimizing trade execution by considering factors like price, slippage, and volume.  APIs: We utilize REST APIs and WebSockets for real-time communication and trading.  Databases: Fuze employs high-performance databases, including PostgreSQL for transactional data, DynamoDB for high-availability document storage, and Influx for timeseries storage.  Security: Our platform integrates end-to-end encryption, multi-factor authentication (MFA), and a suite of security tools such as SIEM, IDS, and IPS to ensure comprehensive security throughout our infrastructure.  Disaster Recovery: Fuze has implemented a robust disaster recovery plan, with automatic failover and backup systems in place across multiple Availability Zones to prevent data loss. We conduct quarterly disaster recovery tests to ensure the readiness of our plan in case of critical incidents. A Business Continuity Planning (BCP) cluster is also in place to ensure continuity of operations should AWS become unavailable in the UAE.  Utilization of Smart Contracts: Smart contracts are utilized within our system for both custody and asset management, ensuring that digital assets are locked, transferred, or released only when predefined criteria are met. This provides enhanced security and ensures compliance with both internal policies and regulatory standards, including GDPR in relation to data handling.  Custody and Asset Management: Digital asset custody is managed through smart contracts, ensuring that the assets are secured and only accessible under specified conditions.  Tokenized Assets: We support the integration of tokenized real-world assets (e.g., real estate or commodities) via smart contracts, facilitating seamless and transparent transfers on the blockchain.  GDPR Compliance: Fuze is committed to maintaining the highest levels of data protection for all personal information under our control. Our infrastructure is designed with GDPR compliance in mind, ensuring that personal data is processed lawfully, transparently, and for specified purposes only. We have implemented strong security measures, including encryption, role-based access controls, and regular audits, to protect data privacy. Additionally, we ensure that data subjects’ rights, such as access, rectification, erasure, and data portability, are respected in line with GDPR requirements.  This architecture, coupled with our strict compliance to GDPR and other international standards, ensures that Fuze can deliver secure, scalable, and efficient services while upholding the highest levels of compliance and data privacy.",,,0,,,,,,,,,,,,,,,,,,,
,Are data security and privacy measures in place and documented?,Share the policy copy and Latest certifications copies including recommendations,Yes,"Yes, Fuze has comprehensive data security and privacy measures in place and fully documented. These measures are designed to safeguard personal, financial, and transaction data throughout its lifecycle, ensuring compliance with industry standards such as GDPR, ISO 27001, and SOC 2 Type II. Key security and privacy practices include:  Data Encryption: All data is encrypted both in transit and at rest, ensuring protection from unauthorized access.  Access Controls: We implement Role-Based Access Control (RBAC), ensuring that only authorized personnel have access to sensitive data based on defined roles and responsibilities.  Multi-Factor Authentication (MFA): MFA is enforced for all users accessing our platform, adding an extra layer of security to prevent unauthorized access.  Data Minimization: We ensure that only the minimum necessary data is collected, stored, and processed, in line with GDPR principles.  Incident Response and Monitoring: We have a dedicated team that continuously monitors system activity for suspicious behavior, ensuring swift response to potential security incidents.  Regular Audits: Our security infrastructure undergoes regular audits and assessments, including penetration testing and vulnerability assessments, to identify and address potential weaknesses.  Employee Training: All employees undergo mandatory training on data privacy and security policies, ensuring they are fully aware of their responsibilities in protecting sensitive data.  These measures are documented in our Information Security Management System (ISMS) and regularly reviewed to ensure that they remain effective and aligned with evolving security standards and regulations.  ",,,0,,,,,,,,,,,,,,,,,,,
,Have there been any breaches or incidents affecting the security of data or information shared ?,Incident register for last 12 months,No,"No, Fuze has not experienced any data breaches or incidents affecting the security of data or information shared. We maintain a strong security framework, conduct regular security audits, and implement best practices to prevent any security incidents. Our proactive approach to risk management and incident response ensures that client data remains secure and protected at all times.",,,0,,,,,,,,,,,,,,,,,,,
,"Do you use or have plan to use any cloud services to fulfill our requirement ? if yes, is the arrangement with cloud provider is in compliance with our in country regulatory requirements ? ","If yes, provide the CSP names including services used and SOC2 Type2 reports",Yes,"Yes, Fuze utilizes cloud services to fulfill the requirements. The arrangement with our cloud service provider (CSP) complies with in-country regulatory requirements, as Fuze operates in Dubai and is licensed by VARA.  The cloud services used include: - AWS as the primary CSP. Amazon Web Services (AWS): The solution is primarily hosted in the me-central-1 region, with secondary data centers in me-central-2 and me-central-3 within the UAE, ensuring compliance with local data residency regulations and high availability.  Fuze utilises various services within AWS: ECS (Elastic Container Service) with Docker containers for its deployment process and management of its micro-service architecture. AWS Load Balancer, AWS WAF, AWS Security Groups, RDS (Relational Database Service) and S3 (Simple Storage Service) are few of the services used in AWS.   - Fuze also manages some servers on Azure.  SOC2 type reports have been shared.",,,0,,,,,,,,,,,,,,,,,,,
,"Do you have environment segregation (Chinese wall) to assure our data is not exposed to any other customers of yours or unauthorized users ?, if yes please explain how. ",Detailed explanation by service provider,Yes,"Yes, Fuze implements environment segregation to ensure that your data is not exposed to other customers or unauthorized users.  Fuze supports both logical and physical segregation of data. Protection measures are in place to prevent unauthorized access or tampering, including Role-Based Access Control (RBAC) and Access Control Lists (ACLs). RBAC is enforced through our Single Sign-On (SSO) provider, ensuring that only users with the necessary permissions can access protected resources as defined in their ACL.  Additionally, all access to critical systems is governed by Fuze’s Zero Trust Security Model, which enforces RBAC at the DNS level and utilizes ACLs to ensure that only authorized personnel can access servers and sensitive data.",,,0,,,,,,,,,,,,,,,,,,,
,Do you have mechanism to transfer our data to other environment and securely delete from your environment if our relationship is terminated ? ,Describe the mechanisms in place for secure data transfer and communications with Mashreq stakeholders and how this is enforced.,Yes,"Yes, Fuze has provisions in place to securely transfer your data to another environment and securely delete it from our environment if our relationship is terminated.  However, please note that our regulatory requirements mandate us to retain certain data for up to 8 years. This retention period ensures compliance with legal and regulatory obligations and is part of our commitment to safeguarding data in accordance with applicable laws.",,,0,,,,,,,,,,,,,,,,,,,
,Do you  have strong controls and processes to secure our credentials which might be shared with you to connect to our environment ? ,1. Is the connectivity protected by a Firewall/VPN? 2. Are rules restricted on need to have basis? 3. Is communication encrypted through VPN or other mechanism?,Yes,"Yes, Fuze implements strong controls and processes to secure any credentials that may be shared with us to connect to your environment. The following measures are in place to ensure the security of this sensitive information:  Connectivity Protected by a Firewall/VPN: All connectivity to your environment is protected by robust firewall and VPN solutions, ensuring that only authorized traffic is allowed and preventing unauthorized access to your systems.  Rules Restricted on a Need-to-Have Basis: Access control rules are strictly enforced on a need-to-have basis. Only authorized personnel with specific roles and requirements can access sensitive resources, ensuring that data and systems remain secure.  Encrypted Communication: Communication is encrypted using VPN or other industry-standard encryption mechanisms. This ensures that all data transferred between systems is secure and protected from unauthorized access during transmission.  These measures are part of our comprehensive security framework to protect your data and ensure that credentials shared with us remain secure throughout our engagement.",,,0,,,,,,,,,,,,,,,,,,,
,If you receive PII and sensitive data from us as part of this engagement where our data will be stored and processed ? ,Please mention the process followed for storing sensitive data,Yes,"Yes, if we receive Personally Identifiable Information (PII) and sensitive data as part of this engagement, it will be stored and processed in accordance with our robust data protection protocols.  All sensitive data will be stored within our cloud infrastructure, primarily hosted in the AWS me-central-1 region in the UAE. This setup ensures compliance with UAE data protection laws and other applicable regulations.  The process for storing sensitive data includes:  Encryption at Rest and in Transit: All sensitive data is encrypted both during transmission and while stored. We utilize industry-standard encryption protocols, such as TLS/SSL for data in transit and strong encryption algorithms for data at rest.  Access Control: Sensitive data is accessible only to authorized personnel, governed by Role-Based Access Control (RBAC). This ensures that only individuals with the appropriate permissions can access or process the data.  Data Minimization: We follow the principle of data minimization, collecting and retaining only the minimum amount of sensitive data required for the engagement.  Regular Audits and Monitoring: Our systems undergo regular security audits and real-time monitoring to detect and prevent unauthorized access, ensuring the protection of sensitive data.  We also comply with relevant data privacy laws such as GDPR and UAE data protection laws, which guide our processes for the collection, storage, and processing of PII and sensitive data.",,,0,,,,,,,,,,,,,,,,,,,
,"What kind of data access that you will have such as  - PII Data: Employees, Customers, Vendors etc. - Financial Data: Transactions, financial reporting, Card Data account data etc. - Intellectual property trade-secret - Code, credentials, or any sensitive information ? ",Please provide the details on kind of access,Yes,"Fuze’s access to data during the engagement is primarily governed by the specific requirements and scope of the project. The following outlines the types of data access that may be required:  Personally Identifiable Information (PII): Access to PII may include employee, customer, or vendor information, depending on the nature of the engagement. This data will only be accessed by authorized personnel who require it for processing, analysis, or customer support, in compliance with applicable data privacy regulations (e.g., GDPR and UAE data protection laws). We ensure strict access controls, such as Role-Based Access Control (RBAC), to limit access to this sensitive data.  Financial Data: Financial data may include transactions, financial reporting, and account data. This type of access will be limited to authorized personnel who are directly involved in financial operations, reporting, or compliance activities. All access to financial data is monitored, logged, and subject to internal auditing procedures to ensure confidentiality and integrity.  Intellectual Property (IP) and Trade Secrets: Access to intellectual property (such as proprietary code, algorithms, and system credentials) will be strictly limited to authorized personnel. We follow confidentiality agreements and robust access controls to protect sensitive information. Additionally, we implement encryption and multi-factor authentication (MFA) for access to any critical systems containing IP or trade secrets.  Fuze is committed to securing and protecting all types of data we may have access to, implementing the highest standards of security to ensure compliance with legal, regulatory, and internal policy requirements.",,,0,,,,,,,,,,,,,,,,,,,
,Will the data be shared through a defined mechanism and on a scheduled frequency?,Please provide the requested details with regards to mechanism and frequency of data sharing,Yes,"Yes, data will be shared through a defined mechanism and on a scheduled frequency as agreed upon in the scope of the engagement. The sharing process will be tailored to ensure security and compliance with all regulatory requirements.  Defined Mechanism: Data will be transmitted using secure methods, such as encrypted channels (e.g., VPN, TLS/SSL), and appropriate access controls (e.g., Role-Based Access Control, Multi-Factor Authentication) will be enforced to ensure that only authorized personnel can access or receive the data.  Scheduled Frequency: The frequency of data sharing will be determined based on the specific needs of the engagement and will be outlined in the contract or service agreement. This may include daily, weekly, or monthly data transfers, or it may occur on an ad-hoc basis depending on the agreed-upon terms.  Fuze is committed to ensuring that data sharing is done securely, efficiently, and in compliance with any regulatory or contractual obligations.",,,0,,,,,,,,,,,,,,,,,,,
,Are you comfortable with us assessing the security posture of your environment to assure control assurance ?,,Yes,"Yes, Fuze is comfortable with you assessing the security posture of our environment to assure control assurance. We are committed to transparency and ensuring that our security measures meet the highest standards.  We welcome third-party audits or assessments, and we are happy to cooperate with any security evaluations you deem necessary to ensure that our environment complies with your security and regulatory requirements.",,,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
FINANCE,Would you able to provide recent audited financial statements?,Copy of latest audited financial statement,Yes,"2023 audited financials are available for review, 2024 will be completed by Q2 and be provided on request once available",,,0,0,Totally Ineffective,,,,,,,,,,,,,,,,,
,Is the business continuity program around this engagement adequate to prevent a material interruption in service that would introduce financial risk?,Please share copy of Business Continuity policy/framework and how it captures impact on financial risk,Yes,"Yes, Fuze maintains a robust Business Continuity Program (BCP) that is designed to ensure the continuity of services and minimize any potential financial or operational risks in the event of disruption.",,,0,,,,,,,,,,,,,,,,,,,
,Is there a set of policies and procedures that address Anti-Money Laundering obligations?,Please share prevention of fraud and corruption related policies,Yes,"Yes, Fuze has a comprehensive set of policies and procedures in place to address Anti-Money Laundering (AML) obligations. These policies are aligned with UAE regulations and global standards, including FATF guidelines.  Our AML framework includes: - Customer Due Diligence (CDD) and Enhanced Due Diligence (EDD) based on risk classification. - Ongoing monitoring of transactions to detect and report suspicious activity. - Integration with leading compliance tools such as Chainalysis and Notabene for real-time monitoring, screening, and Travel Rule compliance. - Mandatory AML training for all relevant staff to ensure awareness and compliance. - Reporting obligations to the UAE Financial Intelligence Unit (FIU), and to VARA, as and when applicable.  These measures ensure that Fuze remains fully compliant with AML regulations and helps mitigate financial crime risks throughout the engagement.  Fuze has robust fraud and corruption prevention policies in place. We enforce clear segregation of duties and strong access controls to prevent fraud and misuse of assets, and we place the highest importance on protecting both our assets and our clients' assets against theft, fraud, and misappropriation.   Fuze leverages advanced fraud detection systems that actively monitor for suspicious activities, with any unusual behavior triggering immediate investigation. Employees undergo regular training on fraud prevention and are fully aware of their responsibility to report any suspicious activity.   Additionally, Fuze maintains a strict Anti-Bribery and Anti-Corruption Policy, which prohibits any form of bribery, kickbacks, or unethical influence, and reinforces our commitment to integrity and transparency in all business dealings.",,,0,,,,,,,,,,,,,,,,,,,
,Do employees receive training on Anti-Money Laundering if applicable to the services provided?,Please share training materials ensuring the comprehensiveness and relevance of the training program ,Yes,"Yes, employees at Fuze receive structured Anti-Money Laundering (AML) training when applicable to the services they support.   This training is mandatory for all relevant roles and is conducted: - At onboarding, to ensure awareness from day one - Annually, as part of ongoing compliance and refresher programs - Ad hoc, when there are material changes in AML regulations or internal policies  The training covers AML, CTF, CPF, Sanctions laws and regulatory obligations, red flags and identification of suspicious activities, internal reporting procedures, and the use of AML compliance tools integrated into our platform.  This ensures our staff are well-equipped to uphold the highest standards of compliance in line with UAE regulations and international best practices.",,,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATIONAL RESILIENCE,Would you be able to provide references from current or past clients?,Please share detailed case studies highlighting similar projects with client identitites anonymized.,Yes,"Yes, Fuze is happy to provide references from current or past clients upon request. We have successfully delivered digital asset infrastructure solutions to leading banks, financial institutions, and fintechs across the UAE and the region.",,,0,0,Totally Ineffective,,,,,,,,,,,,,,,,,
